TEAM,goals_for,goals_against,matches_played,matches_won,matches_drawn,matches_lost,goal_difference,goals_scored_per_match,goals_conceded_per_match,goal_difference_per_match,win_rate,draw_rate,loss_rate,scoring_strength
07 Vestur Sorvagur,1,2,1,0,0,1,-1,1.0,2.0,-1.0,0.0,0.0,100.0,0.5
1 FC Cologne,1,2,2,0,1,1,-1,0.5,1.0,-0.5,0.0,50.0,50.0,0.25
1 FC Slovacko U19,1,2,1,0,0,1,-1,1.0,2.0,-1.0,0.0,0.0,100.0,0.5
1. FC Cologne,3,2,2,1,1,0,1,1.5,1.0,0.5,50.0,50.0,0.0,1.75
1. FC Magdeburg,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1. FC Slovacko B,2,0,1,1,0,0,2,2.0,0.0,2.0,100.0,0.0,0.0,3.0
1. FC Slovacko Uherske Hradiste,1,6,2,0,0,2,-5,0.5,3.0,-2.5,0.0,0.0,100.0,-0.75
1. FFC Turbine Potsdam 71,0,1,1,0,0,1,-1,0.0,1.0,-1.0,0.0,0.0,100.0,-0.5
1. SC Znojmo FK,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1.SK Prostejov,1,1,2,0,2,0,0,0.5,0.5,0.0,0.0,100.0,0.0,0.5
11 Deportivo FC U20,1,1,1,0,1,0,0,1.0,1.0,0.0,0.0,100.0,0.0,1.0
12 de Junio de Villa Hayes,1,1,1,0,1,0,0,1.0,1.0,0.0,0.0,100.0,0.0,1.0
1207 Antalya Muratpasa Belediyespor Women,4,3,3,1,2,0,1,1.3333333333333333,1.0,0.3333333333333333,33.33333333333333,66.66666666666666,0.0,1.5
1461 Trabzon FK,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1928 Bucaspor,3,2,1,1,0,0,1,3.0,2.0,1.0,100.0,0.0,0.0,3.5
24 de Setiembre,2,0,1,1,0,0,2,2.0,0.0,2.0,100.0,0.0,0.0,3.0
3 de Febrero FBC,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
3 de Noviembre,3,0,1,1,0,0,3,3.0,0.0,3.0,100.0,0.0,0.0,4.5
A.S. Nordia Jerusalem U19,0,1,1,0,0,1,-1,0.0,1.0,-1.0,0.0,0.0,100.0,-0.5
AA Flamengo SP U23,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
AC Ajaccio,0,2,1,0,0,1,-2,0.0,2.0,-2.0,0.0,0.0,100.0,-1.0
AC Bellinzona,4,5,3,1,1,1,-1,1.3333333333333333,1.6666666666666667,-0.3333333333333333,33.33333333333333,33.33333333333333,33.33333333333333,1.1666666666666663
AC Carpi,0,1,1,0,0,1,-1,0.0,1.0,-1.0,0.0,0.0,100.0,-0.5
AC Goianiense SAF GO U20,1,0,1,1,0,0,1,1.0,0.0,1.0,100.0,0.0,0.0,1.5
AC Horsens,1,5,1,0,0,1,-4,1.0,5.0,-4.0,0.0,0.0,100.0,-1.0
AC Juvenes/Dogana,3,1,1,1,0,0,2,3.0,1.0,2.0,100.0,0.0,0.0,4.0
AC Lumezzane,2,4,2,0,1,1,-2,1.0,2.0,-1.0,0.0,50.0,50.0,0.5
AC Milan,2,2,2,1,0,1,0,1.0,1.0,0.0,50.0,0.0,50.0,1.0
AC Milan U20,1,1,1,0,1,0,0,1.0,1.0,0.0,0.0,100.0,0.0,1.0
AC Milan Women,2,1,1,1,0,0,1,2.0,1.0,1.0,100.0,0.0,0.0,2.5
AC Monza,0,1,1,0,0,1,-1,0.0,1.0,-1.0,0.0,0.0,100.0,-0.5
AC Monza U20,1,5,2,0,1,1,-4,0.5,2.5,-2.0,0.0,50.0,50.0,-0.5
AC Nagano Parceiro,3,2,2,1,0,1,1,1.5,1.0,0.5,50.0,0.0,50.0,1.75
AC Oulu,0,2,1,0,0,1,-2,0.0,2.0,-2.0,0.0,0.0,100.0,-1.0
